post_id,user_id
1,358
1,757
1,927
1,299
1,143
1,184
1,94
1,803
1,892
1,385
1,331
1,935
1,883
1,282
1,376
2,760
2,375
2,925
2,549
2,776
2,611
2,226
2,661
2,561
2,346
2,97
2,835
2,316
3,268
3,855
3,987
3,754
3,361
3,508
3,83
3,422
3,971
3,737
3,25
3,132
3,495
3,119
3,811
3,75
3,399
3,892
3,62
3,197
3,788
3,639
3,880
3,901
3,855
3,990
3,755
3,361
3,586
3,324
3,390
3,633
3,738
3,92
3,658
3,723
3,448
3,405
3,178
3,995
3,16
3,374
3,179
3,77
3,3
3,525
3,880
3,151
3,675
3,893
4,972
4,445
4,51
4,515
4,492
4,184
4,328
4,85
4,848
4,466
4,632
4,848
4,732
4,311
4,192
4,89
4,80
4,491
4,314
4,276
4,412
4,885
4,543
4,370
4,752
4,45
4,592
4,62
4,888
4,759
4,683
4,883
4,813
4,100
4,892
4,945
5,260
5,689
5,694
5,327
5,170
5,69
5,353
5,915
5,568
5,967
5,469
5,291
5,467
5,385
5,307
5,299
5,203
5,420
5,8
5,807
5,570
5,195
5,692
5,939
5,671
5,502
5,77
5,567
5,680
5,278
5,318
5,233
5,706
5,62
5,210
5,502
5,656
5,155
5,776
5,182
5,873
5,367
5,522
5,96
5,466
5,20
5,125
5,692
5,480
5,849
5,124
5,908
5,993
5,187
5,962
5,30
5,534
5,703
5,679
5,801
5,633
5,624
5,365
5,631
5,151
5,332
5,89
5,700
5,89
5,105
5,844
5,462
5,588
5,942
5,513
5,330
5,580
5,824
5,586
5,124
5,215
5,324
5,503
5,701
5,433
5,16
5,608
5,453
5,597
6,540
6,9
6,433
6,872
6,600
6,252
6,49
6,546
6,27
6,719
6,857
6,286
6,762
6,938
6,977
6,392
6,850
6,913
6,327
6,783
6,652
6,690
6,471
6,755
6,95
6,242
6,240
6,276
6,270
6,748
6,625
6,439
6,916
6,175
6,514
6,159
6,372
6,427
6,733
6,518
6,26
6,800
6,455
6,942
6,232
6,246
6,233
6,307
6,4
6,70
6,605
6,326
6,640
6,942
6,924
6,537
6,486
6,130
6,575
6,189
6,444
6,680
6,421
6,643
6,808
6,828
6,405
6,419
7,94
7,485
7,941
7,28
7,703
7,119
7,849
7,772
7,480
7,307
7,925
7,211
7,211
7,619
7,456
7,890
7,407
7,354
7,459
7,475
7,838
7,259
8,406
8,603
8,316
8,591
8,859
8,929
8,588
9,1
9,384
9,14
9,957
9,726
9,124
9,743
9,847
9,446
9,978
9,566
9,965
9,684
9,118
9,894
9,510
9,939
9,380
9,319
9,61
9,168
9,359
9,599
9,711
9,258
9,841
9,999
9,25
9,390
9,326
9,478
9,559
9,865
9,746
9,488
9,794
9,325
10,125
10,42
