user_id,friend_id
481,794
474,949
236,149
493,60
978,830
697,158
525,209
39,289
13,672
182,261
476,669
287,807
171,675
190,470
725,229
373,533
886,805
634,936
900,743
880,824
772,347
434,714
980,377
163,172
113,132
928,360
191,987
930,198
288,333
672,511
329,566
386,299
646,210
618,956
567,268
690,347
954,394
529,460
653,582
245,99
53,24
799,454
59,389
23,198
99,503
306,635
528,35
551,817
49,343
301,838
249,962
724,953
708,618
99,268
546,691
489,88
462,798
356,936
281,76
165,419
620,604
133,587
889,151
281,415
828,79
732,496
935,881
428,46
184,316
20,528
606,546
683,996
105,714
632,539
485,520
364,766
987,200
900,129
290,109
568,24
760,64
208,999
784,299
247,458
400,701
83,854
134,404
326,33
978,338
765,79
183,388
59,345
421,619
558,58
444,339
97,160
362,305
188,756
402,58
164,324
109,496
974,447
260,57
637,2
78,616
655,791
468,76
203,737
993,419
967,65
901,476
406,282
984,340
230,713
73,730
785,44
603,881
773,431
404,994
846,105
223,445
714,208
276,999
451,249
789,475
755,347
560,734
795,607
484,680
16,713
962,978
562,578
846,910
273,999
304,117
570,114
241,56
568,424
180,215
432,963
888,553
512,13
82,680
984,614
878,902
533,175
151,728
64,747
644,499
9,33
757,492
682,779
389,377
315,227
417,903
253,182
890,264
695,264
639,1000
329,693
891,60
414,681
8,813
516,322
69,260
538,210
767,622
924,176
438,434
532,336
471,744
951,716
241,37
790,651
28,356
446,274
456,282
578,15
118,248
472,416
738,180
961,205
944,947
790,519
797,636
125,538
314,621
940,482
251,811
873,44
577,651
860,835
774,427
461,677
463,667
457,244
332,555
188,469
373,523
969,864
737,640
431,110
458,912
681,853
901,530
43,135
599,600
156,748
268,918
407,815
588,229
523,398
457,104
970,105
903,886
792,119
8,301
220,868
739,669
952,889
618,934
677,830
621,577
462,194
571,873
686,448
902,247
554,167
477,116
109,5
559,545
751,17
354,442
46,49
740,518
673,97
34,328
110,137
414,51
437,770
508,722
34,693
777,217
27,672
610,954
519,708
171,940
622,606
505,133
919,534
587,640
667,128
359,397
534,160
446,747
760,371
708,427
25,425
316,495
788,492
789,271
853,473
335,673
460,56
142,766
889,957
89,462
18,279
219,551
696,832
247,676
899,627
309,138
137,249
202,250
713,492
686,4
360,240
346,897
755,999
368,714
900,502
163,185
124,684
469,547
63,449
644,490
192,640
877,534
975,416
79,871
378,80
181,550
880,534
942,731
289,80
760,29
214,216
980,303
790,615
298,834
467,514
647,483
697,335
653,711
576,689
610,645
379,942
380,179
86,393
680,165
671,769
567,970
303,480
533,713
354,989
2,979
286,531
847,232
987,53
348,854
285,347
20,827
310,158
801,719
89,74
414,985
743,355
187,620
488,443
297,467
41,88
438,274
37,597
514,108
866,285
494,427
275,27
528,551
88,500
892,681
781,694
467,855
595,506
319,412
239,423
644,655
169,328
697,38
626,289
310,209
105,267
199,595
845,625
426,345
506,758
683,848
263,471
58,127
708,62
873,304
323,272
571,41
632,960
300,328
230,345
169,26
698,913
489,62
299,145
395,415
760,23
738,191
319,11
630,119
118,974
349,597
304,343
847,993
308,29
630,566
552,861
102,764
496,140
852,646
207,510
936,168
703,959
528,610
886,512
655,751
304,598
665,643
594,892
661,274
230,25
624,307
495,626
610,774
46,104
586,208
280,213
327,356
516,537
433,504
583,302
260,350
179,599
509,861
350,707
163,590
762,517
936,212
441,700
234,741
90,117
985,243
372,655
546,755
219,144
174,325
361,112
1,71
740,401
983,27
887,226
482,215
438,835
709,984
630,736
601,455
395,735
660,444
397,934
707,777
977,656
852,813
346,45
278,824
946,704
675,575
542,746
923,906
884,417
987,861
679,47
149,518
574,760
940,631
548,766
387,107
898,49
701,412
279,837
550,739
830,320
808,225
643,376
124,185
593,938
245,439
138,996
558,623
123,594
791,576
112,972
181,881
678,630
429,65
122,294
437,640
518,255
712,988
201,942
876,754
233,492
69,920
951,723
367,796
538,713
390,542
810,242
951,743
647,857
193,506
875,334
392,260
289,257
342,364
140,712
235,948
887,453
919,556
866,516
23,683
18,668
810,974
467,463
588,738
81,487
223,447
217,635
200,820
300,856
99,578
575,992
388,43
809,435
761,320
713,516
381,714
961,941
621,232
425,469
643,922
319,912
435,981
125,892
226,622
975,208
856,778
542,412
431,552
342,715
366,482
753,455
228,471
130,972
84,350
323,956
567,768
564,86
538,983
594,453
264,812
166,10
686,955
974,951
5,609
958,26
319,650
782,92
503,880
692,907
263,471
552,227
896,873
628,164
263,108
181,691
777,79
887,320
981,238
643,624
180,567
620,718
695,54
227,740
51,162
668,75
286,309
188,620
907,42
694,2
330,776
47,471
776,815
301,957
590,367
396,766
8,788
272,141
559,550
792,696
271,342
636,135
493,191
202,408
980,358
733,334
276,226
838,129
248,376
173,556
73,157
587,679
747,264
685,158
833,513
481,836
263,141
89,472
548,329
154,141
68,125
779,327
31,955
872,281
736,175
93,271
738,743
250,375
611,624
853,92
405,121
