album_id,user_id
55,387
25,449
38,333
28,861
40,590
39,910
12,618
8,281
43,262
99,962
80,335
100,510
73,574
21,719
74,263
51,690
17,661
51,45
83,252
25,118
9,643
18,980
18,795
87,917
15,868
24,278
98,570
46,871
31,362
94,226
69,865
20,247
61,1000
96,602
80,642
96,703
95,141
56,589
69,591
84,584
3,683
50,869
74,254
14,180
16,105
59,837
37,767
69,237
70,617
90,887
83,915
45,824
9,476
57,717
41,153
2,55
37,866
90,208
73,493
93,85
14,395
61,411
59,226
81,901
82,746
7,238
71,546
47,119
77,251
77,751
22,273
43,625
83,432
85,427
10,641
98,255
2,763
24,976
66,240
45,365
14,294
68,706
20,663
46,389
98,70
70,360
39,825
72,49
62,671
89,78
65,329
64,514
46,182
36,402
13,790
95,465
76,540
22,531
52,371
69,952
38,636
3,260
8,856
25,335
49,823
20,816
100,989
7,601
63,250
79,867
80,251
51,461
48,571
18,866
34,85
53,822
1,653
73,804
15,977
74,247
87,897
29,648
45,319
82,598
12,298
87,5
34,743
80,706
48,795
55,904
92,284
87,323
80,612
11,408
89,574
72,88
65,651
89,272
71,939
57,119
24,668
27,940
43,364
4,736
30,306
100,313
33,931
5,744
6,629
19,371
67,241
1,507
79,138
3,44
43,415
8,9
38,381
50,169
41,690
13,680
21,79
81,958
4,989
46,912
38,395
36,632
34,116
84,549
98,709
54,924
93,466
40,85
24,449
63,511
11,915
82,705
65,757
24,461
92,296
32,340
28,789
76,911
15,897
3,979
35,722
70,987
94,595
22,438
44,747
89,741
92,412
69,646
49,906
16,84
52,843
36,957
78,322
54,765
59,21
16,390
69,316
40,875
4,623
26,420
67,953
11,663
50,304
9,880
61,500
86,904
84,700
27,284
76,554
32,888
46,974
87,855
86,364
21,688
31,434
7,27
72,59
38,484
72,776
78,294
92,239
89,928
28,174
45,793
49,746
50,486
88,746
29,350
20,120
15,439
16,285
85,52
9,84
63,727
89,137
34,356
10,861
97,49
32,316
82,10
51,738
36,149
19,709
10,694
63,897
42,731
11,840
40,203
41,696
66,999
44,563
94,968
87,251
80,731
45,201
40,318
89,483
14,736
66,761
87,448
62,877
56,258
56,933
2,539
75,486
24,873
69,541
63,673
73,863
22,310
5,571
66,118
6,324
53,647
17,510
72,578
47,720
92,247
42,808
54,884
67,100
83,992
18,786
67,909
55,750
63,239
60,384
18,309
43,240
88,863
98,738
98,306
5,390
13,197
94,125
9,864
59,741
76,770
84,392
38,294
67,530
31,444
10,749
26,70
19,779
64,537
93,843
18,942
94,245
52,993
91,710
33,599
40,418
27,493
90,991
63,344
84,276
95,756
75,421
53,200
56,490
48,380
38,27
36,979
87,780
9,856
85,345
55,985
70,479
37,367
50,403
54,89
25,573
80,174
95,400
63,906
21,148
18,672
30,885
71,571
71,498
34,623
95,708
91,945
24,138
80,79
85,598
99,478
84,496
83,992
99,290
25,41
73,238
59,453
7,215
48,488
35,1000
44,123
92,975
63,330
49,510
69,429
70,432
77,896
24,641
27,518
16,892
12,467
56,370
83,904
69,488
53,984
95,991
11,364
47,434
31,319
20,197
66,395
42,942
63,506
25,369
25,705
36,585
87,683
42,686
77,849
30,765
70,799
55,241
92,144
86,101
46,432
5,60
100,769
11,629
80,582
85,976
20,425
38,301
50,335
3,191
65,405
94,753
24,780
11,833
55,530
43,288
90,900
30,386
74,988
89,742
95,302
75,572
8,741
38,624
36,176
41,906
54,6
92,389
1,938
19,462
20,43
25,757
22,522
78,656
89,567
90,887
17,675
78,90
25,937
71,568
3,334
82,924
29,664
86,943
79,131
98,728
30,353
2,158
33,825
93,668
84,654
95,667
34,336
3,132
81,681
75,788
58,83
86,785
54,68
87,578
64,279
73,892
93,387
20,685
16,217
39,107
56,205
95,712
6,615
64,353
2,748
61,975
45,813
65,847
37,637
70,655
25,40
18,426
83,576
68,980
52,193
8,123
77,496
7,443
41,304
58,9
89,891
87,720
31,179
37,461
11,436
40,848
86,858
62,653
42,407
19,895
22,457
90,684
70,138
59,857
29,873
49,388
15,322
71,709
80,55
21,199
40,260
68,199
74,290
44,549
48,191
83,817
6,28
96,990
64,547
71,40
49,38
