post_id,user_id
1,260
1,351
1,179
1,465
1,819
1,180
1,363
1,470
1,955
1,796
1,303
1,154
1,381
1,927
1,121
1,752
1,568
1,759
2,619
2,866
2,103
2,707
2,374
2,849
2,43
2,577
2,368
2,470
2,954
2,807
2,795
2,565
2,294
2,968
2,351
3,119
3,747
3,395
3,556
3,943
4,754
4,665
4,183
4,880
4,469
4,452
4,864
4,707
4,580
4,712
4,643
4,615
4,386
4,750
4,456
5,589
5,461
5,241
5,734
6,427
6,849
6,56
6,634
6,943
6,526
6,781
6,820
6,153
6,192
6,177
6,427
6,722
6,117
6,165
6,113
6,796
6,583
6,719
6,498
6,224
6,895
6,900
6,409
6,732
6,22
6,471
6,264
6,910
6,634
6,942
6,585
6,218
6,814
6,78
6,203
6,971
6,645
6,507
6,987
6,339
6,446
6,490
6,583
6,76
6,593
6,551
6,728
6,432
6,474
6,851
6,96
6,100
6,499
6,977
6,489
6,340
6,83
6,630
6,567
6,39
6,741
6,666
6,455
6,420
6,358
7,147
7,211
7,741
7,583
7,976
7,225
7,182
7,124
7,780
7,299
7,649
7,832
8,724
8,687
9,971
9,237
9,2
9,456
9,925
9,985
9,903
9,636
9,394
9,468
9,902
9,82
9,627
9,392
9,773
9,173
9,355
9,686
9,495
9,99
9,308
9,693
9,158
9,378
9,352
9,250
9,25
9,878
9,795
9,672
9,361
9,811
9,888
9,183
9,263
9,998
9,20
9,380
9,628
9,525
9,930
9,489
9,209
9,580
9,353
9,570
9,788
9,647
9,598
9,382
9,486
9,846
9,190
9,693
9,736
9,788
9,436
9,709
9,349
9,285
9,76
9,483
9,145
9,897
9,418
9,729
9,161
9,181
9,366
9,3
9,69
9,615
9,235
9,631
9,55
9,227
9,672
9,874
9,929
9,876
9,434
9,569
9,185
9,389
9,193
9,37
9,212
9,559
9,687
9,237
9,762
9,630
9,820
9,380
9,297
9,269
10,529
10,486
10,900
10,35
10,477
10,372
10,103
10,618
10,162
10,142
10,72
10,643
10,997
10,778
10,381
10,345
10,910
10,631
10,795
10,126
10,70
10,980
10,735
11,759
11,883
11,867
11,699
11,205
11,310
11,551
11,72
11,118
11,205
11,345
11,75
11,436
11,695
11,451
11,472
11,161
11,402
11,331
11,607
11,806
11,222
11,91
11,310
11,776
11,759
11,62
11,962
11,265
11,781
11,555
11,101
11,644
11,594
11,1
12,832
12,54
12,502
12,755
12,471
12,343
12,618
12,779
12,470
12,163
12,615
12,323
12,208
12,204
12,684
12,340
12,88
12,419
12,649
12,314
12,649
12,365
12,86
12,965
12,536
12,538
12,691
12,938
12,201
12,575
12,43
12,893
12,896
12,65
12,843
12,428
12,726
12,115
12,864
12,466
12,488
12,102
12,349
12,973
12,760
12,130
12,593
12,649
12,623
12,832
12,836
12,312
12,300
12,985
12,325
12,476
12,128
12,824
12,923
12,685
12,343
12,343
12,369
12,635
12,113
12,945
12,497
12,874
12,421
12,502
12,862
12,919
12,491
12,813
12,435
12,313
12,890
12,425
12,556
12,760
12,435
13,823
13,267
13,311
13,245
13,398
13,54
13,938
13,916
13,841
13,906
13,565
13,76
13,68
13,482
13,853
13,807
13,118
13,454
13,482
13,114
13,610
13,717
13,760
13,130
13,885
13,811
13,889
13,647
13,477
13,258
13,575
13,237
13,904
13,648
13,271
13,819
13,528
13,811
13,696
13,269
13,692
13,180
13,934
13,470
13,844
13,709
13,948
13,692
13,240
13,721
13,275
13,985
13,48
13,530
13,652
13,117
13,812
13,511
13,212
13,309
13,786
13,956
13,42
13,883
13,875
13,554
13,163
13,890
13,156
13,619
13,46
13,734
13,467
13,951
13,967
13,702
13,841
13,796
13,769
13,655
13,763
13,686
13,768
13,159
13,318
13,457
13,112
14,232
14,13
14,379
14,216
14,867
15,746
15,268
15,270
15,485
15,813
15,473
15,995
15,140
15,537
15,322
15,998
15,644
15,529
15,316
15,237
15,617
15,322
15,692
15,754
15,294
15,924
15,112
15,754
15,404
15,267
15,596
15,443
15,786
15,17
15,351
15,541
15,862
15,53
15,573
15,85
15,603
15,802
15,179
15,156
15,786
15,857
15,753
15,502
15,750
15,919
15,258
15,37
15,619
15,549
15,281
15,325
15,38
15,838
15,763
15,343
15,638
15,867
15,63
15,607
15,351
15,409
15,524
15,500
15,517
15,534
15,390
15,626
